,threshold,IOU_score
0,0.0,0.2912295695576005
1,0.05,0.8761649024646712
2,0.1,0.886584159404214
3,0.15000000000000002,0.8635351617133439
4,0.2,0.88385129331505
5,0.25,0.9116625900387926
6,0.30000000000000004,0.9033544561988376
7,0.35000000000000003,0.891346489329525
8,0.4,0.9020525406507256
9,0.45,0.9145739062108368
10,0.5,0.9078863634775369
11,0.55,0.9017562405636849
12,0.6000000000000001,0.8939860372986135
13,0.65,0.8963270052368285
14,0.7000000000000001,0.917245211788617
15,0.75,0.9147641009194382
16,0.8,0.8869515372961344
17,0.8500000000000001,0.8842036851295827
18,0.9,0.8579299773028516
19,0.9500000000000001,0.8135031326189807
20,1.0,1.3145660415271313e-05
